//#公众号：DIYP

公众号【diyp】,#genre#
CCTV7 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226234/1.m3u8
CCTV7 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226946/1.m3u8
CCTV7 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226467/1.m3u8
CCTV8 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226485/1.m3u8
CCTV9 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226236/1.m3u8
CCTV9 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226944/1.m3u8
CCTV9 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226465/1.m3u8
CCTV10 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226937/1.m3u8
CCTV10 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226464/1.m3u8
DIYP,https://epg.diyp.site/error.mp4
CCTV11 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226334/1.m3u8
CCTV11 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226463/1.m3u8
CCTV12 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226228/1.m3u8
CCTV12 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226942/1.m3u8
CCTV12 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226462/1.m3u8
CCTV13 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226316/1.m3u8
CCTV13 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226568/1.m3u8
CCTV14 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226229/1.m3u8
CCTV14 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226947/1.m3u8
CCTV14 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226461/1.m3u8
CCTV15 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226460/1.m3u8
CCTV15 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226333/1.m3u8
DIYP,https://epg.diyp.site/error.mp4
CCTV16 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226888/1.m3u8
CCTV16 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226887/1.m3u8
CCTV16 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226892/1.m3u8
CCTV16 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226892/1.m3u8
CCTV16 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221227002/1.m3u8
CCTV17 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226318/1.m3u8
CCTV17 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226459/1.m3u8
中国教育1 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226494/1.m3u8
中国交通 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226891/1.m3u8
东南卫视 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226991/1.m3u8
东南卫视 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226496/1.m3u8
东方卫视 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226237/1.m3u8
东方卫视 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226951/1.m3u8
东方卫视 5M1080HEVC,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226898/1.m3u8
东方卫视 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226364/1.m3u8
东方卫视 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226505/1.m3u8
东方卫视 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226983/1.m3u8
云南卫视 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221227028/1.m3u8
北京卫视 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226936/1.m3u8
北京卫视 5M1080HEVC,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226900/1.m3u8
北京卫视 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226367/1.m3u8
北京卫视 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226441/1.m3u8
北京卫视 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221227005/1.m3u8
北京卫视 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226436/1.m3u8
DIYP,https://epg.diyp.site/error.mp4
吉林卫视 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221227015/1.m3u8
四川卫视 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226995/1.m3u8
天津卫视 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226246/1.m3u8
天津卫视 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226954/1.m3u8
天津卫视 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226502/1.m3u8
安徽卫视 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226943/1.m3u8
安徽卫视 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226499/1.m3u8
山东卫视 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226244/1.m3u8
山东卫视 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226957/1.m3u8
山东卫视 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226501/1.m3u8
广东卫视 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226238/1.m3u8
广东卫视 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226961/1.m3u8
广东卫视 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226508/1.m3u8
广西卫视 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221227010/1.m3u8
江苏卫视 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226242/1.m3u8
江苏卫视 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226953/1.m3u8
DIYP,https://epg.diyp.site/error.mp4
江苏卫视 5M1080HEVC,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226897/1.m3u8
江苏卫视 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226366/1.m3u8
江苏卫视 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226506/1.m3u8
江苏卫视 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221227009/1.m3u8
江西卫视 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226243/1.m3u8
江西卫视 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226956/1.m3u8
江西卫视 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226570/1.m3u8
河北卫视 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221227014/1.m3u8
河北卫视 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226507/1.m3u8
浙江卫视 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226247/1.m3u8
浙江卫视 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226964/1.m3u8
浙江卫视 5M1080HEVC,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226899/1.m3u8
浙江卫视 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226365/1.m3u8
浙江卫视 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226504/1.m3u8
浙江卫视 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226998/1.m3u8
海南卫视 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221227029/1.m3u8
深圳卫视 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226245/1.m3u8
深圳卫视 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226959/1.m3u8
深圳卫视 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226495/1.m3u8
湖北卫视 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226240/1.m3u8
湖北卫视 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226952/1.m3u8
DIYP,https://epg.diyp.site/error.mp4
湖北卫视 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226503/1.m3u8
湖南卫视 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226509/1.m3u8
甘肃卫视 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221227020/1.m3u8
贵州卫视 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221227012/1.m3u8
贵州卫视 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226497/1.m3u8
辽宁卫视 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226500/1.m3u8
重庆卫视 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226963/1.m3u8
重庆卫视 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226569/1.m3u8
青海卫视 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221227017/1.m3u8
黑龙江卫视 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226239/1.m3u8
黑龙江卫视 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226965/1.m3u8
黑龙江卫视 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226498/1.m3u8
北京卡酷少儿 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226558/1.m3u8
北京影视 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226486/1.m3u8
北京文艺 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226440/1.m3u8
DIYP,https://epg.diyp.site/error.mp4
北京新闻 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226437/1.m3u8
北京生活 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226561/1.m3u8
北京纪实科教 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226559/1.m3u8
北京财经 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226560/1.m3u8
北京体育休闲 6M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226438/1.m3u8
上海纪实人文 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226571/1.m3u8
湖南金鹰纪实 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226572/1.m3u8
湖南快乐垂钓 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226549/1.m3u8
湖南茶 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226548/1.m3u8
NewTV中国功夫 2.5M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226321/1.m3u8
NewTV中国功夫 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226988/1.m3u8
NewTV军事评论 2.5M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226326/1.m3u8
NewTV军事评论 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226985/1.m3u8
NewTV军旅剧场 2.5M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226324/1.m3u8
NewTV军旅剧场 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226967/1.m3u8
NewTV农业致富 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226304/1.m3u8
NewTV农业致富 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226962/1.m3u8
NewTV动作电影 2.5M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226329/1.m3u8
NewTV动作电影 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226974/1.m3u8
NewTV古装剧场 2.5M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226323/1.m3u8
DIYP,https://epg.diyp.site/error.mp4
NewTV古装剧场 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226986/1.m3u8
NewTV家庭剧场 2.5M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226330/1.m3u8
NewTV家庭剧场 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226981/1.m3u8
NewTV怡伴健康 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226327/1.m3u8
NewTV怡伴健康 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226984/1.m3u8
NewTV惊悚悬疑 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226423/1.m3u8
NewTV惊悚悬疑 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221227013/1.m3u8
NewTV明星大片 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226425/1.m3u8
NewTV明星大片 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221227008/1.m3u8
NewTV欢乐剧场 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226969/1.m3u8
NewTV武搏世界 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226320/1.m3u8
DIYP,https://epg.diyp.site/error.mp4
NewTV武搏世界 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226992/1.m3u8
NewTV潮妈辣婆 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226286/1.m3u8
NewTV潮妈辣婆 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226980/1.m3u8
NewTV炫舞未来 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226968/1.m3u8
NewTV炫舞未来 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226248/1.m3u8
NewTV爱情喜剧 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226322/1.m3u8
NewTV爱情喜剧 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226989/1.m3u8
NewTV精品体育 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226328/1.m3u8
DIYP,https://epg.diyp.site/error.mp4
NewTV精品体育 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226978/1.m3u8
NewTV精品大剧 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226331/1.m3u8
NewTV精品大剧 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226970/1.m3u8
NewTV精品纪录 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226332/1.m3u8
NewTV精品纪录 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226977/1.m3u8
NewTV精品萌宠 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226976/1.m3u8
NewTV超级体育 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226232/1.m3u8
NewTV超级体育 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226945/1.m3u8
NewTV超级体育 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226348/1.m3u8
NewTV超级电影 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226233/1.m3u8
NewTV超级电影 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226949/1.m3u8
DIYP,https://epg.diyp.site/error.mp4
NewTV超级电影 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226369/1.m3u8
NewTV超级电影 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226994/1.m3u8
NewTV超级电视剧 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226253/1.m3u8
NewTV超级电视剧 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226972/1.m3u8
NewTV超级电视剧 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226368/1.m3u8
NewTV超级电视剧 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226979/1.m3u8
NewTV超级综艺 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226231/1.m3u8
NewTV超级综艺 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226940/1.m3u8
NewTV超级综艺 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226370/1.m3u8
NewTV超级综艺 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226975/1.m3u8
NewTV金牌综艺 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226347/1.m3u8
NewTV金牌综艺 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221227004/1.m3u8
黑莓动画 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226935/1.m3u8
黑莓电影 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226939/1.m3u8
哒啵电竞 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226889/1.m3u8
哒啵赛事 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226938/1.m3u8
哒啵赛事 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226250/1.m3u8
DIYP,https://epg.diyp.site/error.mp4
哒啵赛事 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226262/1.m3u8
咪咕全民热练 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221227000/1.m3u8
咪咕视频 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226890/1.m3u8
咪咕视频 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226374/1.m3u8
咪咕视频 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226375/1.m3u8
咪咕视频 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226377/1.m3u8
咪咕视频 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226378/1.m3u8
咪咕视频 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226379/1.m3u8
咪咕视频 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226380/1.m3u8
咪咕视频 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226381/1.m3u8
咪咕视频 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226382/1.m3u8
咪咕视频 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226394/1.m3u8
咪咕视频 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226395/1.m3u8
咪咕视频 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226396/1.m3u8
咪咕视频 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226397/1.m3u8
咪咕视频 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226398/1.m3u8
